id,name,surname,gender,date_of_birth,skills,hobbies
58,Tim,Vukov,M,1990-07-19,philosophy:criminal law:public administration:justice system:insurance law:protection of victims:constitutional law:energy management:sociology:biophysics:politics,group sports:translating:tennis:gym:gardening:football:knitting
154,Noel,Mišanović,M,1991-02-13,ethics:comparative literature:mechatronics:mathematics in economics:literacy:linguistics:stylistic norms of the Croatian language:public relations:presenting,football:videogaming:horseback riding:chess:skiing:netflix
193,Karol,Dumanović,F,1996-04-24,innovation management:inorganic chemistry:thermodynamics:matlab:chemochemistry:nanomaterials and nanotechnologies,horseback riding:swimming:translating:handmade crafts:reading:professional dancing:gardening
110,Doris,Zabrdac,F,1989-09-23,telecommunication:mechatronics:electromachines:logic:managment:artificial intelligence in chemical engineering,chess:volunteering:writing:gardening:netflix:videogaming:beekeeping
168,Svebor,Risović,M,1993-06-07,python:computer science:physics:electronics:electroacoustics:audiotechnology:operating systems:mathematics:computing and mathematics:development:biophysics,netflix:swimming:writing:translating
194,Vicko,Blizanjac,M,1980-04-27,classify basic film genres:presenting:orthographic norms of the Croatian language:grammatical norms of the Croatian language:film review:public relations:protection of victims:debating,videogaming:chess:football:knitting:gardening:gym:cooking
3,Florian,Vitezović,M,1996-03-16,quality management:robotics in the food industry:cereal technology:reporting for magazines:knowledge of food technologies:design of biological processes:biochemistry,tennis:skiing:cooking:diving:volunteering:gym:writing
26,Nora,Popratnjak,F,1989-04-28,computer science:electronics:web design:robotics:audiotechnology:waste management:physics:art history,volunteering:videogaming:cooking:reading:football:diving
70,Norbert,Šelmić,M,1996-12-16,laboratory analysis of food:aeronomy:mathematics and informatics-teaching:basic computer skills:principles of academic integrit:geochemistry:organic chemistry,netflix:diving:gardening:videogaming:writing:handmade crafts:chess
102,Diana,Đukić,F,1986-12-20,electrochemistry:Croatian dialects:anthropology:stylistics:archeology:logic:psychology:pedagogy:linguistics:experimental psychology,gardening:writing:handmade crafts:volunteering:skiing:netflix
39,Kistian,Gluvajić,M,1998-09-16,ethics:computer science:programming:graphical design:communicology:operating systems:development:java:beverage technology,football:reading:skiing:knitting:tennis
87,Klaudia,Filaresković,F,2000-07-10,waste composting:hydrogen energy:electrochemistry:petrochemical engineering:physical chemistry:environmental protection:analytical chemistry:organic photochemistry:structure and properties of materials:meteorology,tennis:cooking:beekeeping:gym:volleyball
37,Mirel,Basić,M,2000-06-07,laboratory analysis of food:electrochemistry:GMO production:knowledge of food technologies:new food and technology:microbiology:organic chemistry:laboratory skills:genetic engineering:fat and oil technology,volleyball:knitting:chess:gardening:professional dancing:handmade crafts
31,Sara,Rauković,F,1990-08-08,automatics:economics:telecommunication:web design:programming:knowledge of special species:organisation:grammatical norms of the Croatian language:hidraulics:biochemistry,skiing:handmade crafts:videogaming:knitting:translating:diving:beekeeping
